"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000025147",-0.472953996208022,1.15787469978186,4.16346678766968,0.0486411117752532,0.202109758557472,"bta-mir-3431"
"ENSOARG00000014316",-0.242622561303999,6.0437563538596,4.16166307541827,0.0486873657646534,0.2022708835069,"FOCAD"
"ENSOARG00000020568",2.00300862347365,-1.72624289828874,4.16111408267906,0.0487014536350821,0.202298345868802,"PDZK1"
"ENSOARG00000008392",-0.241482666094855,7.15591106168961,4.15795139482093,0.0487826999132567,0.202604722667063,"TCN2"
"ENSOARG00000019113",4.17837822618107,-3.04508333650582,4.23925203950073,0.0488280438497327,0.202761918389972,"DPPA2"
"ENSOARG00000018923",-0.369403968283313,5.74557717272198,4.15536565978008,0.0488492358969189,0.202818788820633,"PAMR1"
"ENSOARG00000020039",-0.222854211276375,4.02694503410317,4.15380049507871,0.0488895592373241,0.202955061471009,"RABL2B"
"ENSOARG00000016504",-0.21803413706984,5.40059575720969,4.15291606040521,0.048912361157938,0.203018566855915,"KRI1"
"ENSOARG00000022417",0.314016481598924,2.43322271707351,4.15247926621239,0.048923626627949,0.203034176222201,""
"ENSOARG00000003866",-0.258522387796355,4.80070453858787,4.15149049721843,0.0489491387908783,0.203108895835648,"SIDT2"
"ENSOARG00000011125",-0.199704017759189,6.43200893547572,4.14957927722664,0.0489984935782317,0.203276353162624,"RBM6"
"ENSOARG00000014607",-0.251498425012376,3.42297740132641,4.14912330852392,0.0490102764871264,0.203276353162624,"RWDD2B"
"ENSOARG00000002424",-0.218883686965154,6.18646551509238,4.14905518768405,0.0490120370991274,0.203276353162624,"MAN2C1"
"ENSOARG00000011534",-0.374591830746675,1.81804808097249,4.14873004971696,0.0490204413887562,0.203279350265837,"TADA2B"
"ENSOARG00000006827",0.195150564405783,5.96840279338953,4.14844590362692,0.0490277874060984,0.203279350265837,"RBM19"
"ENSOARG00000009917",0.295691292063816,3.77845807228093,4.14762085209272,0.0490491243108724,0.203336654781848,"NECAB2"
"ENSOARG00000003420",-0.304463954598816,3.01428497588161,4.14709828565042,0.0490626438549726,0.20336153927569,NA
"ENSOARG00000007356",-0.8072987304852,-0.927852955158217,4.14654808153437,0.0490768828667719,0.20338939783665,"LRRC73"
"ENSOARG00000010387",-0.212668449044449,5.32406815765841,4.14485574855098,0.0491207081859694,0.203539843661084,"TMX2"
"ENSOARG00000007690",3.62630571872101,-2.88893757657709,4.17784202510942,0.0491953786976783,0.203818036031698,"S1PR3"
"ENSOARG00000024430",-0.448749688689842,1.04802917371188,4.1415763519289,0.0492057556338306,0.203829813645331,NA
"ENSOARG00000002028",-0.219032706580674,4.90993680981143,4.14042492628388,0.0492356550671345,0.203922445221411,"C1orf43"
"ENSOARG00000009567",-0.189614338425638,6.90693780139506,4.13760699616906,0.0493089137115674,0.204161801020918,"SMU1"
"ENSOARG00000012568",0.252066779132827,6.89668440753082,4.13745597177075,0.0493128433348031,0.204161801020918,"RUVBL2"
"ENSOARG00000018821",3.62103754798352,-3.09369912596794,4.19461478640757,0.0493205432453479,0.204161801020918,""
"ENSOARG00000021042",-0.225501590364456,4.9990093555954,4.13704141925064,0.0493236316800739,0.204161801020918,"MRPL9"
"ENSOARG00000003646",-0.817679391359155,-0.0157106517286232,4.13575997940499,0.0493569964288898,0.204256291739516,NA
"ENSOARG00000010236",0.229839286492908,3.9206329179058,4.13558479317359,0.0493615596729858,0.204256291739516,"TMEM64"
"ENSOARG00000021881",3.60529612522881,-2.80612215895178,4.15151069678328,0.0493837405530398,0.204316824731907,NA
"ENSOARG00000014822",3.61430622555392,-2.63638496736072,4.1698055698119,0.0494012607419895,0.204358059344615,"IKZF1"
"ENSOARG00000007608",1.54133649499089,-1.82743730380948,4.13332649976705,0.0494204252932927,0.204406082538563,"QRICH2"
"ENSOARG00000003246",0.219384595000714,4.77213412102591,4.13228711523434,0.0494475443419539,0.204486986338615,"IKBKB"
"ENSOARG00000018238",-0.239986602949246,5.09999948888834,4.13180521133896,0.0494601234821898,0.204507745787431,"TEF"
"ENSOARG00000010894",-0.436726497537016,1.20016777834383,4.12797070319461,0.0495603415531398,0.204890813016296,"MAGIX"
"ENSOARG00000023653",-2.69549129914793,-2.55107368289797,4.12708969058044,0.0495833991857225,0.204954817657836,"SCARNA8"
"ENSOARG00000014301",0.729776308541739,0.00957793206236886,4.12322800530953,0.0496846059187803,0.205341785598332,"KCTD16"
"ENSOARG00000017468",-0.508669345561377,1.54468138038393,4.11920502991794,0.0497902821628282,0.20573144283233,"EPHX1"
"ENSOARG00000018150",3.6130301843477,-3.04565403344985,4.17599267755873,0.0497960340931082,0.20573144283233,"SLC6A2"
"ENSOARG00000012755",2.07990628063735,-2.19452492196633,4.11851461033258,0.0498084431474374,0.20573144283233,"GDA"
"ENSOARG00000015085",2.53507168484031,-2.37751087696809,4.11819303664672,0.0498169044037799,0.20573144283233,"QRFPR"
"ENSOARG00000005517",0.314640411792548,3.22111354947181,4.11793596998552,0.0498236694899477,0.20573144283233,"ERICH1"
"ENSOARG00000001077",-0.195028532364492,6.07620867544309,4.11789366751253,0.049824782838677,0.20573144283233,"RALBP1"
"ENSOARG00000008813",0.272311317493655,5.78223058691667,4.11761495451932,0.0498321189059015,0.20573144283233,"NPHP3"
"ENSOARG00000019899",0.737598818247772,-0.54886380351153,4.11702982266601,0.0498475241702185,0.205763643408772,"FBXO48"
"ENSOARG00000014474",-0.219843797596458,5.92204207515971,4.11455291532167,0.0499127940420051,0.206001636920275,"MROH1"
